company-domain,companyDisplayname,companyName,Column1,Column2
aio.so.ch,Kanton Solothurn,aio,1,1
,Kantonales Amt für Informatik,kantonales,0,1
,KDX.Partners,kdx.partners,0,1
,Keldano AG,keldano,0,1
keymile.com,Keymile,keymile,1,1
kiubic.ch,kiubic IT GmbH,kiubic,1,1
kiwi-consultants.ch,kiwi Consultants AG,kiwi-consultants,1,1
kizytracking.com,Kizy Tracking AG,kizytracking,1,1
knowgravity.com,KnowGravity Inc.,knowgravity,1,1
koncret.com,Koncret,koncret,1,1
,konzeptplus ag,konzeptplus,0,1
kpmg.com,KPMG AG,kpmg,1,1
kripp.ch,kripp.ch GmbH,kripp,1,1
,KV Winterthur,kv,0,1
kwsoft.ch,KW Software AG,kwsoft,1,1
lambda-it.ch,Lambda-IT,lambda-it,1,1
,LBA,lba,0,1
lcsys.ch,LC Systems Engineering AG,lcsys,1,1
leanbi.ch,LeanBI AG,leanbi,1,1
,Lemma Consulting,lemma,0,1
,Lengronne & Partners ,lengronne,0,1
,Lifestage Solutions AG,lifestage,0,1
liip.ch,Liip,liip,1,1
,Liip ,liip,0,1
linkyard.ch,linkyard,linkyard,1,1
,Livesystems,livesystems,0,1
,Logikos,logikos,0,1
,Löwenfels Partner AG,löwenfels,0,1
luks.ch,Luzerner Kantonsspital,luks,1,1
lups.ch,Luzerner Psychiatrie,lups,1,1
mabuco.ch,mabuco GmbH,mabuco,1,1
maninvestments.com,MAN Investments,maninvestments,1,1
marklogic.com,MarkLogic (Germany) GmbH,marklogic,1,1
,Martinelli GmbH,martinelli,0,1
,mcs software ag,mcs,0,1
mega.com,MEGA International GmbH,mega,1,1
metamatics.ch,Metamatics GmbH,metamatics,1,1
meteoswiss.ch,MeteoSwiss,meteoswiss,1,1
,microfast GmbH,microfast,0,1
microsoft.com,Microsoft,microsoft,1,1
migros.ch,Migros,migros,1,1
mimacom.ch,Mimacom,mimacom,1,2
,MINT-Kids GmbH,mint-kids,0,1
missarl.com,MIS Sarl,missarl,1,1
,MITP,mitp,0,1
,modan software ag,modan,0,1
